compound,stintage,gap_%_melhor_volta
MEDIUM,11.00,2.70
MEDIUM,12.00,2.70
MEDIUM,10.00,2.70
SOFT,10.00,2.72
SOFT,12.00,2.72
HARD,21.00,3.06
HARD,22.00,3.06
HARD,20.00,3.06
HARD,23.00,3.10
HARD,24.00,3.10
HARD,26.00,3.10
HARD,25.00,3.10
SOFT,25.00,3.10
SOFT,26.00,3.10
HARD,28.00,3.13
HARD,30.00,3.16
HARD,31.00,3.17
MEDIUM,30.00,3.23
MEDIUM,31.00,3.24
HARD,32.00,3.25
SOFT,5.00,2.55
SOFT,6.00,2.57
SOFT,7.00,2.62
SOFT,8.00,2.63
SOFT,9.00,2.63
MEDIUM,15.00,2.90
MEDIUM,16.00,2.90
MEDIUM,17.00,2.97
MEDIUM,18.00,2.97
MEDIUM,19.00,2.97
HARD,25.00,3.10
HARD,26.00,3.10
HARD,27.00,3.13
HARD,28.00,3.13
HARD,29.00,3.13
MEDIUM,15.00,2.90
MEDIUM,16.00,2.90
SOFT,15.00,2.90
SOFT,16.00,2.90
SOFT,18.00,2.94
HARD,17.00,2.93
HARD,18.00,2.93
HARD,19.00,2.93
MEDIUM,17.00,2.97
MEDIUM,19.00,2.97
HARD,16.00,2.87
HARD,15.00,2.87
SOFT,15.00,2.90
SOFT,16.00,2.90
HARD,18.00,2.93
HARD,18.00,2.93
SOFT,18.00,2.94
MEDIUM,18.00,2.97
HARD,25.00,3.10
SOFT,25.00,3.10
MEDIUM,25.00,3.17
HARD,32.00,3.25
SOFT,32.00,3.26
MEDIUM,32.00,3.32
HARD,5.00,2.49
HARD,6.00,2.52
MEDIUM,5.00,2.52
MEDIUM,6.00,2.55
SOFT,5.00,2.55
HARD,12.00,2.67
HARD,11.00,2.67
HARD,10.00,2.67
HARD,13.00,2.70
MEDIUM,12.00,2.70
HARD,15.00,2.87
HARD,16.00,2.87
MEDIUM,16.00,2.90
MEDIUM,15.00,2.90
HARD,19.00,2.93
MEDIUM,12.00,2.70
MEDIUM,10.00,2.70
MEDIUM,11.00,2.70
SOFT,10.00,2.72
SOFT,12.00,2.72
HARD,22.00,3.06
HARD,20.00,3.06
HARD,21.00,3.06
HARD,23.00,3.10
HARD,25.00,3.10
HARD,16.00,2.87
HARD,15.00,2.87
SOFT,15.00,2.90
SOFT,16.00,2.90
HARD,18.00,2.93
MEDIUM,3.00,2.34
MEDIUM,2.00,2.34
HARD,3.00,2.34
HARD,2.00,2.34
SOFT,3.00,2.37
